iter	Passed	Remaining
257	404	1164
258	405	1160
259	406	1157
260	407	1154
261	408	1151
262	409	1148
263	410	1144
264	411	1140
265	412	1137
266	412	1133
267	413	1129
268	414	1126
269	415	1122
270	415	1118
271	416	1115
272	417	1111
273	418	1107
274	418	1104
275	419	1100
276	420	1097
277	421	1094
278	422	1092
279	423	1089
280	424	1085
281	425	1082
282	426	1079
283	426	1076
284	427	1073
285	428	1069
286	429	1066
287	430	1063
288	430	1060
289	431	1056
290	432	1054
291	433	1050
292	434	1047
293	435	1045
294	436	1043
295	437	1041
296	439	1040
297	440	1038
298	441	1035
299	442	1032
300	443	1029
301	444	1026
302	444	1023
303	445	1020
304	446	1017
305	447	1015
306	448	1012
307	449	1010
308	450	1008
309	452	1007
310	454	1007
311	455	1005
312	456	1002
313	457	999
314	458	996
315	459	993
316	459	990
317	460	988
318	461	985
319	462	982
320	463	979
321	464	977
322	465	976
323	468	976
324	469	974
325	469	971
326	470	968
327	471	965
328	472	963
329	472	960
330	473	957
331	474	954
332	475	952
333	476	949
334	477	947
335	478	945
336	479	943
337	480	941
338	481	939
339	482	936
340	483	934
341	484	931
342	484	928
343	485	926
344	486	923
345	487	920
346	488	918
347	488	916
348	490	914
349	490	911
350	492	910
351	493	908
352	495	908
353	496	905
354	496	902
355	497	900
356	498	897
357	499	895
358	500	892
359	500	890
360	501	888
361	502	886
362	503	883
363	504	881
364	505	880
365	507	879
366	509	878
367	509	875
368	510	873
369	511	870
370	512	868
371	513	866
372	513	863
373	514	861
374	515	859
375	516	856
376	517	854
377	517	852
378	518	849
379	519	848
380	521	846
381	522	845
382	523	842
383	523	840
384	524	838
385	525	835
386	526	833
387	527	831
388	532	835
389	535	838
390	540	841
391	542	841
392	544	840
393	546	839
394	547	838
395	549	838
396	552	839
397	553	837
398	555	836
399	556	834
400	557	832
401	558	830
402	559	828
403	560	826
404	561	824
405	562	822
406	564	822
407	566	821
408	567	819
409	568	817
410	568	815
411	569	812
412	570	810
413	571	808
414	572	806
415	572	804
416	573	801
417	574	799
418	575	797
419	575	795
420	576	793
421	578	792
422	580	792
423	582	791
424	584	790
425	585	788
426	586	786
427	587	784
428	587	782
429	588	780
430	589	778
431	590	776
432	591	775
433	593	773
434	595	773
435	597	772
436	597	770
437	598	768
438	599	765
439	600	763
440	600	761
441	601	759
442	602	757
443	603	755
444	604	753
445	605	751
446	606	750
447	607	749
448	609	748
449	610	746
450	611	744
451	612	742
452	612	740
453	613	737
454	614	735
455	615	733
456	615	731
457	616	729
458	617	727
459	618	725
460	619	723
461	620	722
462	622	721
463	623	720
464	624	718
465	625	716
466	626	714
467	626	712
468	627	710
469	628	708
470	629	706
471	629	704
472	630	702
473	631	700
474	632	699
475	634	698
476	635	696
477	652	712
478	657	714
